 Latitude , Longitude , Magnitude 
-4.7097,100.9385,4.1
-4.336,102.659,5
-5.634,103.043,4.4
-4.365,102.258,5
-5.577,102.746,4.6
-5.342,102.177,3.8
-5.436,102.01,4.6
-4.507,102.475,4.6
-5.51,102.694,4.6
-5.3921,102.9016,3.6
-4.389,102.319,5.3
-5.5781,102.8827,3.8
-4.6216,102.5848,3.8
-5.203,101.982,4.7
-4.914,102.55,4.1
-4.642,102.344,3.8
-4.9725,100.2382,3.7
-4.7378,101.6847,3.9
-4.897,102.64,5.8
-4.437,102.203,5.1
-5.771,102.802,4.6
-5.142,102.461,4.7
-4.1978,102.259,3.8
-4.472,102.153,4.1
-5.391,102.738,4.7
-5.8353,101.2002,3.4
-4.317,102.327,5.2
-4.149,101.744,3.9
-4.344,102.401,5
-4.641,102.496,4.6
-4.3943,102.2248,3.6
-4.381,102.167,4.4
-4.349,102.392,5.1
-5.095,101.531,3.9
-4.163,102.733,4.6
-3.892,102.978,4
-4.77,101.877,4.3
-4.876,102.312,4.8
-5.8996,100.855,3.8
-4.154,102.701,3.4
-5.198,102.65,4.4
-5.086,102.593,3.6
-4.507,102.214,4.1
-4.973,102.057,3.7
-5.362,101.3653,3.5
-5.84,102.695,4
-4.9291,103.652,3.6
-5.12,100.825,4.1
-5.4522,101.3525,3.9
-5.2667,103.7604,3.7
-4.416,102.559,4.2
-5.26,102.062,3.9
-4.574,102.249,4.4
-4.387,102.29,4.4
-4.435,102.145,4.6
-4.122,102.055,5.5
-5.2152,103.637,3.6
-4.954,101.667,4.3
-3.7122,102.537,3.3
-4.357,102.787,4.2
-4.373,102.183,5.4
-5.629,102.864,4.5
-4.673,102.253,4.8
-4.651,101.968,4.7
-5.71,102.881,4.7
-4.983,102.727,5.4
-5.569,102.723,4.6
-4.525,102.354,4.1
-4.428,102.158,4.4
-4.2637,101.2278,3.8
-5.471,103.205,4.6
-5.402,103.231,4.4
-4.377,102.039,4.9
-5.086,102.75,6.2
-4.823,103.005,4.5
-4.7553,103.108,3.8
-4.856,102.081,4.7
-4.815,102.014,4.5
-4.92,103.6067,3.8
-4.8824,102.9386,3.6
-4.6502,102.1207,3.7
-4.7598,102.5314,3.6
-5.089,102.123,4.6
-4.7983,102.4503,3.5
-4.899,101.874,4.7
-5.501,103.313,3.9
-5.498,102.812,4.1
-5.062,102.762,4.7
-4.457,102.514,4.8
-4.3595,102.0726,3.3
-5.04,102.8306,3.5
-5.651,102.376,3.6
-5.5925,102.733,3.6
-5.3294,102.1194,3.8
-4.538,102.331,4
-5.111,103.67,3.9
-4.3176,101.1267,3.6
-5.404,103.26,4
-4.9277,103.7102,3.9
-5.356,102.652,4
-4.976,102.258,4.7
-5.597,103.062,3.7
-4.1336,101.5092,3.8
-4.858,102.148,4.7
-5.53,102.666,4.3
-5.014,102.16,4
-4.321,102.085,3.7
-5.048,101.326,4.3
-5.675,101.3697,3.7
-5.8575,102.3853,3.8
-4.672,101.769,4
-5.568,103.185,4.5
-4.236,102.56,4.7
-3.7412,103.6741,3.5
-5.331,102.489,3.5
-4.238,102.836,4.6
-4.7455,105.4642,3.8
-5.2602,103.542,3.4
-4.913,102.171,4.8
-4.1104,102.6075,3.9
-4.5343,102.177,3.1
-5.275,103.183,4.1
-5.6102,100.0925,3.7
-5.834,102.416,3.9
-4.9041,103.8207,3.8
-5.3213,102.4282,3.7
-5.854,102.825,3.4
-4.697,102.97,4.8
-4.609,101.959,4.4
-5.484,102.031,4
-4.642,101.925,4.4
-5.561,103.132,4.4
-5.1533,103.1446,3.9
-4.824,101.657,3.7
-5.1725,103.4997,4
-5.658,102.471,4.6
-5.647,102.872,4.2
-4.615,101.936,6.7
-4.2839,102.3517,4.6
-4.5747,102.052,3.9
-4.812,101.787,4.8
-5.1955,101.5554,3.9
-3.754,101.7149,4.1
-4.4,102.051,4.7
-4.483,101.916,5
-4.618,102.053,5.1
-4.731,102.113,4.7
-4.454,102.001,4.8
-4.615,101.798,4.1
-4.3232,101.9442,3.9
-4.473,102.081,4.2
-4.678,101.897,4.1
-4.57,101.888,4.8
-4.4878,102.0826,4.1
-4.592,101.933,4.6
-4.438,101.958,4.6
-4.677,101.942,4
-4.9214,101.8526,4
-4.47,102.012,4.7
-4.6215,101.6069,4
-4.562,101.881,4
-4.638,101.884,4
-4.585,101.841,4.9
-5.3388,101.9242,3.8
-5.246,101.733,4.1
-4.483,101.894,4.2
-4.443,102.083,4.9
-4.881,101.335,4
-5.787,101.882,3.9
-4.4544,102.1799,3.8
-4.757,101.871,4
-4.214,101.912,4.1
-5.2803,101.5361,3.7
-5.1328,101.7094,3.7
-4.446,102.2245,3.7
-4.456,102.009,5
-5.606,102.815,4.8
-4.358,101.962,4.7
-4.3129,102.1161,4
-4.474,102.381,3.6
-5.397,101.753,3.8
-5.7556,101.2808,4.1
-4.9823,101.155,3.8
-4.308,102.407,3.8
-5.123,101.61,3.7
-4.705,101.571,3.9
-4.45,102.014,4.1
-4.3984,102.316,4.1
-5.12,101.644,5.8
-4.968,102.498,4
-4.626,101.794,4
-4.368,102.097,3.6
-5.4935,101.8289,4
-5.148,101.63,4.3
-4.769,101.586,3.9
-4.854,101.8114,5.1
-4.395,102.105,4
-5.434,102.621,4.5
-4.111,102.488,3.8
-5.527,102.734,4.7
-4.268,102.209,4
-4.353,102.26,5.1
-5.059,102.327,4.3
-4.71,103.3698,3.5
-1.219,99.373,3.6
-4.614,102.009,4.8
-5.1325,102.2302,3.1
-4.411,102.127,4.8
-5.514,101.0873,3.6
-5.629,102.277,4
-5.385,102.943,4.2
-4.76,101.758,3.9
-5.2896,103.3626,3.5
-5.0737,101.7289,4
-5.289,103.511,3.6
-5.7647,101.1738,4.5
-5.442,101.353,4.8
-5.18,101.362,4.7
-4.661,101.6886,3.6
-4.118,101.4504,3.5
-4.5938,103.4453,3.4
-5.148,102.096,4.7
-5.734,102.546,3.8
-5.4739,105.3369,4.3
-4.19,102.568,4.9
-4.562,101.854,4.2
-4.952,101.469,4.9
-3.6382,104.7685,4.5
-5.182,102.473,3.5
-4.344,102.439,3.7
-3.912,105.014,4.3
-4.9423,102.1611,3.8
-5.495,101.5936,4.9
-4.905,101.284,3.9
-4.54,102.201,4.9
-4.9955,101.2112,4.1
-5.282,103.163,3.9
-5.577,102.495,4
-5.578,102.591,4.7
-5.74,101.296,5.3
-5.105,101.541,5
-5.664,102.481,3.7
-5.561,102.856,5.3
-4.622,102.229,4.6
-5.327,102.754,5.5
-5.36,102.783,5.5
-4.533,102.049,4.5
-5.002,102.734,5.1
-5.393,102.745,4.6
-5.599,102.731,5.9
-5.903,102.927,4.2
-5.62,102.69,5
-3.8152,102.8482,4.1
-5.1651,103.3911,4
-5.598,102.883,4.5
-4.373,101.741,4.8
-4.926,103.101,3.8
-6.0554,104.6277,4.2
-4.8257,103.4933,3.7
-4.8915,103.3447,4.2
-5.8,102.044,4.5
-5.317,102.901,4.1
-5.064,100.385,5.3
-4.927,103.01,4.6
-5.645,102.81,3.8
-5.434,102.642,4.6
-5.673,102.679,4.5
-4.388,101.974,4.9
-5.947,102.507,5.3
-4.641,102.266,4.6
-5.392,101.454,5
-5.227,101.445,4.8
-5.296,101,4.9
-4.7622,101.8562,4.1
-4.311,102.646,4.3
-3.9127,102.7337,3.7
-4.9958,103.9584,3.4
-5.676,102.5993,3.7
-5.1476,102.9665,3.4
-3.7135,101.5852,3.7
-4.484,102.009,5.5
-1.8136,104.5812,3.3
-2.42,103.8494,4.7
-5.8627,100.9298,5
-5.0717,101.1982,5.8
-5.338,103.1,4.7
-5.296,102.941,4.7
-5.569,102.597,4.4
-4.507,102.789,4.6
-5.236,102.201,4.8
-4.562,102.802,4.2
-5.397,102.757,4.5
-5.139,102.868,4.8
-4.8,102.124,4.5
-4.954,102.244,5
-4.376,102.041,4.9
-4.616,102.04,4.6
-4.304,101.369,4.1
-4.805,102.506,4.7
-5.2215,101.3965,4.3
-4.966,102.21,5.1
-4.7276,101.7798,5
-5.454,100.936,4.5
-5.6976,101.5154,4.4
-4.4916,102.2187,4.8
-5.117,102.414,3.9
-4.218,102.342,3.9
-5.525,101.135,5
-5.008,101.848,4
-4.752,102.401,4.8
-5.648,102.845,3.7
-4.4676,102.0795,4.4
-3.44,102.91,4
-3.9136,103.3827,4.1
-3.5371,103.9081,3.6
-5.593,102.641,3.7
-5.305,101.126,5
-4.814,101.752,5
-5.02,102.369,4.7
-3.1488,103.576,4.9
-4.8911,103.401,4.5
-4.7882,102.9801,3.9
-4.492,102.069,4.1
-4.4097,102.1359,4.1
-5.218,101.364,4.5
-5.4709,100.6406,3.8
-5.8971,101.9398,3.9
-5.35,102.564,4.7
-5.1327,103.1205,4
-5.45,102.364,4.3
-5.013,102.471,4.1
-5.3259,102.4929,3.8
-5.516,101.492,5.5
-4.054,102.618,3.9
-5.262,102.734,4.6
-5.2195,103.2159,4.2
-5.152,103.3232,3.6
-5.569,102.647,4.6
-5.496,101.163,5.8
-5.7533,103.6887,3.5
-5.423,101.254,5.6
-4.6621,103.1159,3.7
-5.764,102.612,3.9
-5.289,101.426,5.4
-5.469,101.388,4.4
-4.704,101.911,4.7
-5.028,102.146,5.3
-4.857,102.338,4.4
-5.717,102.575,4.5
-5.597,102.634,4.7
-5.3121,102.57,3.7
-4.653,102.127,4.2
-4.094,102.625,3.9
-4.797,104.226,3.9
-4.6461,103.1101,3.3
-5.6182,103.508,3.6
-4.605,102.211,3.9
-5.186,102.203,4
-5.336,101.675,4.6
-5.4064,101.4015,3.9
-5.948,103.543,3.9
-5.0273,102.9348,3.6
-4.217,103.923,4
-4.506,102.142,4.2
-5.581,102.658,3.9
-5.715,103.229,4.4
-6.074,103.074,3.7
-4.9671,101.5946,4.8
-5.109,101.948,4.1
-5.0846,103.5333,3.3
-3.9521,104.9014,3.4
-5.3985,103.5026,3.8
-4.654,101.7431,3.5
-5.755,102.504,4.6
-5.719,102.473,4.7
-5.2991,102.424,3.7
-4.974,102.165,4.9
-5.607,102.351,4.4
-4.604,102.0789,3.4
-4.497,102.088,4.3
-4.343,102.205,4.8
-4.905,101.2405,3.8
-5.1454,103.2362,3.7
-2.3266,104.5719,5.4
-4.325,102.113,4.8
-5.552,102.784,4.4
-4.811,102.687,5.1
-5.175,103.576,4
-5.466,103.074,4.1
-5.504,102.524,4.7
-4.274,102.16,4.4
-5.458,101.298,4.7
-5.013,102.624,5.3
-5.1544,101.3154,5.3
-4.823,101.608,3.7
-4.872,101.818,3.9
-4.215,102.381,4.7
-4.548,101.98,4.8
-4.955,102.117,4.5
-3.7446,103.5332,4.1
-3.783,102.985,4.3
-5.847,102.198,4.3
-4.252,102.544,4
-4.956,103.007,4.4
-4.431,102.065,4.1
-5.029,102.361,4
-5.1158,101.9832,4.1
-6.024,101.835,4
-4.9359,103.7131,3.6
-4.568,102.015,4.4
-4.7764,102.6047,4
-4.8631,103.8813,3.5
-5.12,101.322,4
-4.7848,102.1617,3.8
-4.885,103.187,4.3
-4.6353,102.1163,3.8
-4.5542,102.8515,4
-4.625,102.314,4.5
-4.59,102.244,4.2
-4.926,102.665,4.5
-5.52,101.288,3.9
-5.2821,102.4716,3.5
-4.872,101.784,4.1
-4.934,102.667,5.2
-5.222,102.733,5
-3.419,103.657,4.2
-4.0533,101.7218,3.8
-5.261,102.352,4.9
-4.8836,101.9074,3.6
-4.121,102.961,3.8
-5.734,102.596,5.2
-5.319,102.1,4.5
-5.075,102.835,4.5
-4.003,102.004,4.9
-4.888,102.233,5.3
-4.172,103.605,3.9
-5.734,105.057,4.1
-4.638,102.177,4.9
-4.639,101.969,4.5
-5.677,101.691,4.8
-2.8285,104.1429,3.4
-4.7259,101.7106,3.2
-5.6546,102.5337,3.9
-4.207,102.862,4.3
-5.024,102.164,3.9
-4.908,102.274,4
-5.721,101.621,4.9
-5.475,103.253,4.2
-4.849,101.895,5
-4.779,101.924,4.9
-4.314,102.446,4.2
-5.455,102.249,4.9
-4.891,102.92,3.8
-4.373,101.409,3.9
-4.391,102.255,4.1
-5.5999,102.861,4
-5.2878,101.9795,3.7
-4.852,102.169,3.9
-5.241,102.778,4.7
-4.9182,102.1495,3.3
-5.156,102.174,4.5
-4.956,102.386,4.1
-4.332,102.882,4.8
-5.171,102.023,4.5
-3.392,105.3693,3.5
-4.1188,101.9202,3.7
-4.877,102.441,3.9
-5.692,103.069,4.2
-4.738,102.947,4.9
-5.9268,102.2295,4.3
-5.074,103.475,3.8
-5.499,102.618,4.5
-5,102.355,4.4
-3.8888,101.8309,3.5
-1.546,100.615,4.6
-4.9194,100.5606,3.6
-5.003,102.424,4.1
-4.422,102.077,5
-5.0092,103.6995,3.5
-5.2345,103.3014,3.6
-4.767,102.808,3.7
-3.22,103.479,3.8
-5.636,102.901,4.1
-3.654,103.419,4.2
-5.6248,102.0767,3.8
-4.539,102.214,4.2
-4.364,102.53,4.3
-4.72,101.958,4.7
-1.266,100.26,4.5
-5.533,103.009,3.8
-4.0702,102.8815,4.2
-5.461,102.703,4.2
-5.161,101.974,3.6
-5.206,102.718,4.2
-5.2527,103.4265,3.5
-4.804,102.195,4.3
-4.624,101.943,5.2
-4.561,102.179,4.4
-5.0831,101.3745,3.9
-5.6683,102.0078,3.9
-4.021,102.244,4.1
-5.2377,102.9258,3.9
-5.2787,101.6837,3.5
-5.446,102.535,4.2
-5.094,102.158,3.7
-4.6204,102.1406,3.9
-5.352,102.061,4.2
-4.597,102.236,4.6
-5.405,102.695,5.9
-5.422,102.508,4.9
-5.1332,103.1864,3.9
-5.379,102.821,4.8
-5.2674,102.9167,4.2
-5.367,102.672,3.8
-5.512,102.624,4.7
-5.396,102.787,4.1
-5.2068,102.0383,3.6
-5.3046,103.2417,3.8
-5.292,102.883,4.5
-5.528,102.658,4.7
-6.0054,102.3543,3.7
-4.0925,102.3476,3.6
-5.6361,104.5448,3.4
-6.0592,102.881,3.7
-5.134,102.399,4.6
-4.501,103.766,5.8
-4.576,103.633,4.5
-4.581,103.819,3.6
-5.72,102.803,4.6
-5.1478,103.4804,3.6
-4.318,102.672,4.1
-3.8618,103.9938,3.3
-4.9296,103.9561,3.3
-0.48,100.425,3.8
-5.214,102.136,5.3
-5.398,101.889,3.9
-4.789,102.696,4.7
-4.645,103.323,4.1
-5.1279,102.5453,3.4
-4.848,103.056,4.2
-4.42,102.48,4.9
-2.71,101.813,3.8
-3.983,102.319,4.1
-5.4191,102.7111,3.7
-5.345,103.216,4.3
-5.593,105.814,5.5
-3.922,102.367,4.2
-2.7091,102.7561,3.8
-4.094,102.336,5.7
-5.971,102.356,3.7
-4.873,102.302,4.1
-1.186,99.839,3.9
-4.6375,102.0188,3.7
-4.7715,101.6032,3.7
-5.6,102.832,5.7
-5.559,102.926,4.5
-5.646,102.76,4
-5.293,102.84,4.8
-5.161,102.279,4.4
-4.938,101.754,4.1
-5.185,102.482,3.7
-5.066,102.4758,4.1
-5.2293,102.7841,3.9
-4.985,102.323,4.6
-4.7658,100.7502,3.5
-4.967,102.479,4.6
-4.545,101.918,4.1
-5.054,102.59,4.7
-5.215,101.936,3.8
-4.573,102.16,3.9
-5.2089,102.943,4
-4.7075,106.0279,3.9
-5.589,103.038,4.2
-4.754,102.168,4.3
-4.4543,102.4652,3.2
-5.8377,101.7617,3.6
-4.928,102.729,4.8
-4.793,102.3083,3.7
-5.037,102.806,4.6
-5.359,102.767,4.6
-5.285,102.347,4.1
-5.3954,103.197,4
-5.0781,101.9061,3.5
-5.7063,101.9258,3.8
-4.1949,102.0162,3.5
-0.987,101.711,3.8
-4.878,102.711,4.7
-4.538,102.428,4.2
-5.688,103.055,4.3
-3.597,98.6346,4.1
-4.6101,104.0868,3.5
-5.628,105.487,4.6
-6.09,102.839,3.8
-4.577,101.9834,3.8
-4.515,102.039,4.5
-5.726,105.45,4.5
-5.644,102.537,4.4
-5.17,102.29,4.5
-5.1253,102.184,3.4
-5.13,102.988,4.2
-4.211,102.686,4.1
-4.424,102.134,4.7
-5.5124,104.7005,4
-4.409,101.449,4.3
-4.557,101.934,4.7
-5.586,103.29,3.7
-4.5,101.996,4.1
-4.148,102.504,4.2
-5.44,102.256,4.7
-0.641,98.913,3.8
-6.037,102.056,4.3
-4.6863,102.829,3.9
-3.946,101.769,4.2
-5.982,102.747,5.8
-4.592,102.169,4.6
-4.7368,104.3789,3.4
-5.226,102.594,5.3
-5.2504,102.4846,3.6
-4.302,102.413,4.7
-4.349,101.697,4
-4.456,102.405,4.4
-4.293,102.261,4.1
-5.2444,102.7368,3.5
-4.642,103.035,4.7
-5.245,102.4,4.4
-4.419,102.196,4.9
-5.0568,102.2286,4.6
-5.142,102.478,4.8
-5.064,102.373,4.5
-4.1468,103.8225,3.9
-4.47,102.269,4.7
-4.444,102.2,4.5
-4.434,102.049,5.2
-5.6141,102.1964,4.8
-5.058,102.57,4.9
-0.337,99.689,3.9
-5.285,102.651,3.9
-4.605,103.055,4.9
-4.834,101.809,4.6
-5.433,101.817,6
-5.3881,102.0411,4
-3.507,103.162,4.4
-4.427,102.879,4.5
-5.216,103.2128,3.7
-4.553,102.533,4.1
-5.0129,102.1776,3.7
-4.215,101.92,4.7
-5.3756,99.7808,3.5
-1.679,100.647,4.8
-3.5325,101.3031,3.8
-2.943,102.7806,4
-4.9925,102.6654,3.7
-5.623,102.772,4.3
-2.9756,104.7582,3.1
-3.942,103.819,3.9
-2.582,104.096,4.1
-4.518,102.107,4.9
-4.989,102.099,6.2
-4.91,102.235,4.1
-4.736,102.369,4.3
-4.485,102.907,4.1
-3.6204,103.428,3.2
-4.784,102.422,3.7
-1.367,100.036,4.5
-5.506,102.131,3.9
-4.493,102.413,5
-4.7739,103.1362,3.7
-0.649,98.1857,3.8
-0.343,99.309,4
-5.133,102.052,4.2
-4.752,102.318,4.2
-5.033,102.124,4.2
-4.554,104.1622,3.7
-4.7909,103.2088,3.7
-4.705,102.432,4.3
-4.708,102.847,4.8
-4.164,101.659,4.1
-4.189,101.685,4.4
-4.266,101.564,5.1
-3.099,101.188,4.1
-1.322,99.569,4
-5.194,103.607,3.8
-5.513,103.031,4.3
-5.763,102.774,4.3
-5.465,101.749,5.1
-5.529,101.808,4.7
-5.5953,103.0497,3.9
-5.071,102.591,4.1
-5.499,103.115,4.7
-5.271,102.581,4
-5.376,102.461,5.1
-5.289,102.448,4.2
-5.175,102.696,4
-4.9067,103.1502,4
-5.166,102.615,4.3
-5.435,102.48,4.4
-2.247,98.389,4.1
-5.658,102.821,4.3
-5.663,105.643,4.2
-4.665,102.443,3.7
-5.5259,103.0071,3.6
-5.244,103.285,4
-4.703,102.053,4.6
-5.1393,102.9851,3.9
-5.348,102.638,4.8
-5.4587,102.4799,4.6
-5.347,102.517,4.5
-5.844,102.112,3.9
-5.028,102.865,4.3
-3.91,102.443,4.1
-5.939,102.5907,3.8
-0.993,98.442,4.4
-4.3462,103.2741,3.3
-5.1627,103.145,3.6
-5.929,102.297,3.9
-5.923,102.68,5.8
-4.197,102.444,4.5
-5.673,103.892,4.7
-5.3199,105.5654,4.2
-5.0213,104.3017,3.6
-5.2932,102.4862,3.9
-5.137,101.033,3.9
-4.642,102.459,4.3
-4.921,103.228,3.5
-5.657,103.039,5.1
-4.4499,106.1131,3.2
-5.406,103.3322,3.7
-4.592,102.051,4.3
-5.793,105.704,4.6
-5.287,102.722,3.8
-2.6013,103.9009,3.1
-0.8024,99.2516,3.6
-5.669,101.992,3.9
-4.2172,102.5933,3.5
-4.242,102.229,3.6
-1.692,100.627,5
-3.767,102.62,3.5
-5.754,101.98,4
-5.365,102.443,4.1
-4.2044,104.3889,3.6
-3.3724,103.546,3.2
-4.7248,104.6604,3.6
-4.77,103.355,4.6
-5.0112,103.0216,3.8
-5.098,104.194,4.1
-4.831,101.8051,3.8
-4.092,102.568,4
-5.3655,102.6655,3.8
-6.084,104.427,4
-4.575,102.102,4
-5.007,101.3737,3.7
-4.354,102.259,4.8
-4.6198,101.7548,3.8
-4.527,102.289,4.2
-4.6677,103.0996,3.6
-4.821,102.928,4.2
-4.9495,104.0635,3.8
-2.897,101.456,4.2
-4.477,102.417,4.6
-3.005,99.432,4.6
-2.337,101.904,4
-4.35,102.285,4.6
-2.598,103.297,4.3
-5.3223,102.8179,3.9
-5.185,102.951,4.6
-4.6231,102.438,3.7
-5.199,103.1846,3.4
-5.489,102.961,4.2
-1.523,99.659,4.1
-4.47,102.324,3.8
-6.019,102.528,3.7
-5.164,104.893,3.7
-2.6487,102.6732,3.9
-4.592,101.884,4.6
-4.271,102.148,4.5
-3.709,101.953,4.8
-5.059,100.583,3.8
-4.901,102.556,5.4
-3.5,101.625,4.5
-5.2295,102.8935,3.4
-4.8591,105.4566,3.7
-5.838,103.384,4.7
-0.845,97.448,4.1
-5.2428,101.745,4
-5.678,103.68,3.8
-6.049,102.462,4.7
-5.684,102.813,4.6
-4.627,102.21,3.9
-4.993,102.046,4.4
-4.013,101.669,6
-4.071,101.744,6.8
-4.242,101.595,5.4
-4.241,101.564,5.1
-4.309,101.654,5.2
-4.3,101.668,5.6
-4.435,101.521,4.4
-4.4491,102.3037,3.8
-4.9952,101.5087,3.8
-4.163,101.667,4.9
-4.25,101.604,5.7
-4.278,101.546,4.8
-4.6356,100.9758,4
-4.477,101.179,4.1
-3.7701,102.2314,3.6
-4.227,101.571,4.1
-4.702,101.054,4.3
-4.423,102.696,4.3
-4.143,102.927,4.4
-4.5419,103.1031,4
-4.029,101.741,5.4
-4.25,101.638,4.9
-4.114,101.549,4.3
-4.746,102.782,4.4
-4.453,101.357,3.9
-0.249,99.167,5.6
-4.0494,102.1395,3.5
-4.7126,103.4541,3.4
-5.208,102.48,4.2
-5.922,103.703,5.3
-4.147,104.0649,3.2
-5.395,104.5276,3.3
-4.3,102.326,3.9
-4.424,101.373,3.8
-4.976,102.739,4.6
-3.3146,103.6199,2.8
-5.898,103.284,5.4
-5.797,103.37,4.2
-4.789,103.858,3.9
-4.721,102.9112,3.6
-1.4479,104.5263,3.8
-5.87,103.194,5.2
-5.841,103.348,4.7
-5.92,103.812,5
-5.756,103.354,4.7
-4.9394,102.6595,3.5
-5.815,103.408,4.9
-5.158,103.995,3.9
-2.1205,100.4662,3.4
-4.5893,102.0875,3.3
-4.482,102.187,3.9
-1.801,105.367,3.9
-4.449,102.286,4.2
-4.1541,102.5842,3.2
-4.886,102.776,4.1
-4.48,104.6332,3.1
-5.214,100.637,3.9
-0.93,99.664,3.7
-4.6752,102.5815,3.7
-5.254,102.117,4
-5.104,102.125,4.2
-4.754,102.478,7.4
-4.7997,102.9957,3.7
-4.6977,103.4183,3.6
-5.0904,101.6068,3.7
-5.5223,102.5782,3.2
-2.7548,105.5224,3
-4.926,102.4674,3.6
-4.506,103.826,3.8
-4.8139,102.9867,3.5
-4.9819,103.0309,3.4
-5.462,102.747,3.9
-4.7267,103.3445,3.6
-5.151,102.121,5.2
-5.334,102.202,4
-4.66,101.6216,3.6
-4.7556,103.8732,3.9
-5.2372,102.998,3.2
-5.94,103.904,4.8
-4.699,104.292,3.7
-5.06,102.587,4.8
-4.989,102.688,5.2
-5.0814,102.8711,3.6
-5.282,101.884,4
-4.902,102.481,4.7
-5.176,102.643,5.1
-4.94,102.884,4.3
-5.137,102.49,5.6
-5.967,105.493,4.8
-5.423,102.407,5
-4.9872,102.2401,3.2
-4.6949,102.7135,3.4
-3.3941,104.9833,3.4
-5.165,101.714,3.9
-4.928,103.031,3.8
-4.9742,102.8853,3.5
-4.803,102.69,5.3
-5.738,102.834,4.2
-5.1616,103.7166,3.5
-4.264,101.277,4.6
-1.6284,100.4454,3.9
-2.8191,102.8352,3.2
-0.477,99.767,3.9
-3.399,104.615,4.6
-4.79,102.732,5.2
-4.3116,103.0948,3.1
-5.977,104.803,5
