EventID , Time , Latitude , Longitude , Depth/km , Author , Catalog , Contributor , ContributorID , MagType , Magnitude , MagAuthor , EventLocationName,,,,,,
895210,2000-05-08T01:31:47,-1.6945,101.8008,0,IDC,ISC,ISC,2889818,mb,4.1,IDC,SOUTHERN SUMATRA,,,,,,
896416,2000-05-08T10:08:52,-0.9177,98.0562,0,IDC,ISC,ISC,2889843,mb,3.8,IDC,SOUTHERN SUMATRA,,,,,,
896840,2000-05-08T12:29:15,-0.987,97.963,35.2,ISC,ISC,ISC,1735240,mb,4.7,NEIC,SOUTHWEST OF SUMATRA,,,,,,
896912,2000-05-08T12:29:59,-0.877,98.057,33,ISC,ISC,ISC,1735238,Mw,5.5,HRVD,SOUTHERN SUMATRA,,,,,,
897021,2000-05-08T12:44:20,-0.945,97.994,33,ISC,ISC,ISC,1735242,mb,4.4,NEIC,SOUTHWEST OF SUMATRA,,,,,,
898525,2000-05-08T21:14:43,-0.923,98.014,33,ISC,ISC,ISC,1735258,mb,4.5,NEIC,SOUTHERN SUMATRA,,,,,,
898722,2000-05-08T22:37:19,-0.789,98.078,33,ISC,ISC,ISC,2889897,mb,4.2,ISC,SOUTHERN SUMATRA,,,,,,
898973,2000-05-09T00:30:20,-0.879,98.074,33,ISC,ISC,ISC,1735262,mb,5,NEIC,SOUTHERN SUMATRA,,,,,,
916672,2000-05-14T13:48:13,-4.923,102.8648,0,IDC,ISC,ISC,2890292,mb,3.5,IDC,SOUTHERN SUMATRA,,,,,,
948925,2000-05-20T13:41:01,-5.7643,105.0799,200,DJA,ISC,ISC,2790103,ML,4.2,DJA,SUNDA STRAIT,,,,,,
959862,2000-05-22T06:00:49,-3.7029,101.0907,43.3,IDC,ISC,ISC,2890770,mb,3.4,IDC,SOUTHERN SUMATRA,,,,,,
963248,2000-05-22T18:51:56,-4.987,103.672,33,ISC,ISC,ISC,1802954,mb,4.1,NEIC,SOUTHERN SUMATRA,,,,,,
983715,2000-05-26T00:21:37,-5.981,105.3312,33,DJA,ISC,ISC,2790266,ML,4.5,DJA,SUNDA STRAIT,,,,,,
990914,2000-05-27T01:50:36,-1.4587,97.3047,0,IDC,ISC,ISC,2891090,mb,3.9,IDC,SOUTHWEST OF SUMATRA,,,,,,
993016,2000-05-27T12:01:57,-5.8454,103.3417,220.8,DJA,ISC,ISC,2790301,MD,3.9,DJA,SOUTHERN SUMATRA,,,,,,
999644,2000-05-29T02:58:18,-1.21,97.579,33,ISC,ISC,ISC,1735852,mb,4.6,NEIC,SOUTHWEST OF SUMATRA,,,,,,
1003676,2000-05-30T00:47:15,-3.686,102.007,75.9,ISC,ISC,ISC,1735868,mb,4.6,NEIC,SOUTHERN SUMATRA,,,,,,
1011122,2000-05-31T17:54:17,-4.709,103.245,69.4,ISC,ISC,ISC,1735908,mb,4.6,NEIC,SOUTHERN SUMATRA,,,,,,
878870,2000-06-03T20:02:01,-4.304,102.21,96.4,ISC,ISC,ISC,1735992,mb,5,NEIC,SOUTHERN SUMATRA,,,,,,
881530,2000-06-04T16:28:28,-4.692,102.141,52.7,ISC,ISC,ISC,1736014,Mw,7.9,HRVD,SOUTHERN SUMATRA,,,,,,
881617,2000-06-04T16:39:46,-4.636,102.02,37.1,ISC,ISC,ISC,1736016,mb,6.7,NEIC,SOUTHERN SUMATRA,,,,,,
881622,2000-06-04T16:49:26,-4.9812,102.9203,0,IDC,ISC,ISC,2771725,mb,4.6,IDC,SOUTHERN SUMATRA,,,,,,
881628,2000-06-04T16:51:22,-5.1664,102.3935,0,IDC,ISC,ISC,2771727,mb,4.6,IDC,SOUTHERN SUMATRA,,,,,,
881634,2000-06-04T16:53:17,-5.4034,102.5582,0,IDC,ISC,ISC,2771729,mb,4.7,IDC,SOUTHERN SUMATRA,,,,,,
881639,2000-06-04T16:55:47,-4.0933,101.9648,0,IDC,ISC,ISC,2771732,mb,4.5,IDC,SOUTHERN SUMATRA,,,,,,
881652,2000-06-04T16:56:30,-4.6804,102.0826,0,IDC,ISC,ISC,2771734,mb,4.4,IDC,SOUTHERN SUMATRA,,,,,,
881658,2000-06-04T16:57:20,-5.2027,102.8166,0,IDC,ISC,ISC,1807197,mb,4.4,IDC,SOUTHERN SUMATRA,,,,,,
881664,2000-06-04T16:58:23,-4.689,102.2261,0,IDC,ISC,ISC,1807199,mb,4.2,IDC,SOUTHERN SUMATRA,,,,,,
881675,2000-06-04T17:01:21,-5.252,102.588,33,ISC,ISC,ISC,1807201,mb,4.6,ISC,SOUTHERN SUMATRA,,,,,,
881679,2000-06-04T17:07:23,-5.5972,102.8381,34.4,IDC,ISC,ISC,2771738,mb,3.8,IDC,SOUTHERN SUMATRA,,,,,,
881690,2000-06-04T17:09:07,-4.7625,102.0092,0,IDC,ISC,ISC,2771740,mb,4.1,IDC,SOUTHERN SUMATRA,,,,,,
881717,2000-06-04T17:14:42,-4.168,102.6,33,ISC,ISC,ISC,1807203,mb,4.6,ISC,SOUTHERN SUMATRA,,,,,,
881732,2000-06-04T17:19:23,-5.2313,103.1888,0,IDC,ISC,ISC,2771743,mb,3.7,IDC,SOUTHERN SUMATRA,,,,,,
881741,2000-06-04T17:23:17,-4.6333,101.526,0,IDC,ISC,ISC,1807205,mb,3.5,IDC,SOUTHERN SUMATRA,,,,,,
881759,2000-06-04T17:29:16,-4.842,102.307,33,ISC,ISC,ISC,2771748,mb,3.8,ISC,SOUTHERN SUMATRA,,,,,,
881784,2000-06-04T17:31:01,-5.619,103.004,50.2,ISC,ISC,ISC,1736018,mb,5.1,NEIC,SOUTHERN SUMATRA,,,,,,
881803,2000-06-04T17:38:03,-5.362,102.57,33,ISC,ISC,ISC,1736020,mb,5.1,NEIC,SOUTHERN SUMATRA,,,,,,
881826,2000-06-04T17:45:08,-5.179,102.698,63.2,ISC,ISC,ISC,1807209,mb,4.3,ISC,SOUTHERN SUMATRA,,,,,,
881835,2000-06-04T17:47:03,-5.684,102.776,33,ISC,ISC,ISC,2771756,mb,4.2,ISC,SOUTHERN SUMATRA,,,,,,
881847,2000-06-04T17:47:55,-5.326,103.286,39.5,ISC,ISC,ISC,1807211,mb,4.5,NEIC,SOUTHERN SUMATRA,,,,,,
881858,2000-06-04T17:49:39,-4.345,102.379,33,ISC,ISC,ISC,1736022,mb,4.6,ISC,SOUTHERN SUMATRA,,,,,,
881872,2000-06-04T17:51:31,-5.558,102.396,33,ISC,ISC,ISC,1807214,mb,4.7,ISC,SOUTHERN SUMATRA,,,,,,
881916,2000-06-04T17:54:01,-5.0611,102.2206,0,IDC,ISC,ISC,2771761,mb,4.7,IDC,SOUTHERN SUMATRA,,,,,,
881923,2000-06-04T17:56:13,-5.487,103.494,33,ISC,ISC,ISC,2771763,mb,4.3,ISC,SOUTHERN SUMATRA,,,,,,
881961,2000-06-04T18:01:36,-5.588,102.816,25.7,ISC,ISC,ISC,1746619,mb,4.9,NEIC,SOUTHERN SUMATRA,,,,,,
881984,2000-06-04T18:03:13,-4.926,102.149,57,ISC,ISC,ISC,1736026,mb,5,NEIC,SOUTHERN SUMATRA,,,,,,
881994,2000-06-04T18:06:27,-5.2827,100.0896,0,IDC,ISC,ISC,2771767,mb,4,IDC,SOUTHWEST OF SUMATRA,,,,,,
882013,2000-06-04T18:08:55,-4.869,101.936,33,ISC,ISC,ISC,1736028,mb,4.8,NEIC,SOUTHERN SUMATRA,,,,,,
882038,2000-06-04T18:13:16,-5.47,103.148,33,ISC,ISC,ISC,1807220,mb,4.2,ISC,SOUTHERN SUMATRA,,,,,,
882044,2000-06-04T18:16:15,-5.3535,103.3836,0,IDC,ISC,ISC,2771771,mb,4.3,IDC,SOUTHERN SUMATRA,,,,,,
882076,2000-06-04T18:20:41,-5.379,102.398,33,ISC,ISC,ISC,1736032,mb,4.7,NEIC,SOUTHERN SUMATRA,,,,,,
882106,2000-06-04T18:21:04,-5.499,102.7,33,ISC,ISC,ISC,1736030,mb,4.9,NEIC,SOUTHERN SUMATRA,,,,,,
882159,2000-06-04T18:30:57,-5.009,102.123,49.4,ISC,ISC,ISC,1807227,mb,4.9,NEIC,SOUTHERN SUMATRA,,,,,,
882170,2000-06-04T18:32:47,-5.865,102.607,33,ISC,ISC,ISC,1807229,mb,4.3,NEIC,SOUTHERN SUMATRA,,,,,,
882182,2000-06-04T18:36:49,-4.0495,101.7528,0,IDC,ISC,ISC,2771787,mb,3.7,IDC,SOUTHERN SUMATRA,,,,,,
882197,2000-06-04T18:39:42,-5.065,102.225,33,ISC,ISC,ISC,1807231,mb,3.8,ISC,SOUTHERN SUMATRA,,,,,,
882219,2000-06-04T18:41:32,-5.3212,100.9793,0,IDC,ISC,ISC,2771791,mb,3.5,IDC,SOUTHWEST OF SUMATRA,,,,,,
882233,2000-06-04T18:44:24,-5.4279,102.9253,0,IDC,ISC,ISC,2771793,mb,3.7,IDC,SOUTHERN SUMATRA,,,,,,
882259,2000-06-04T18:49:39,-4.3216,103.7537,0,IDC,ISC,ISC,2771795,mb,3.5,IDC,SOUTHERN SUMATRA,,,,,,
882269,2000-06-04T18:55:12,-5.875,102.691,33,ISC,ISC,ISC,2771797,mb,4,ISC,SOUTHERN SUMATRA,,,,,,
882270,2000-06-04T19:00:00,-3.8706,101.51,0,IDC,ISC,ISC,2771799,mb,3.7,IDC,SOUTHERN SUMATRA,,,,,,
882284,2000-06-04T19:04:21,-4.822,102.107,33,ISC,ISC,ISC,1807233,mb,3.9,ISC,SOUTHERN SUMATRA,,,,,,
882294,2000-06-04T19:05:48,-5.081,102.791,26.2,ISC,ISC,ISC,1736036,mb,4.7,NEIC,SOUTHERN SUMATRA,,,,,,
882314,2000-06-04T19:07:34,-5.838,102.587,33,ISC,ISC,ISC,1807236,mb,4.5,ISC,SOUTHERN SUMATRA,,,,,,
882330,2000-06-04T19:11:58,-5.493,103.103,33,ISC,ISC,ISC,1807238,mb,4.3,NEIC,SOUTHERN SUMATRA,,,,,,
882346,2000-06-04T19:18:12,-5.147,102.068,33,ISC,ISC,ISC,1736038,mb,4.4,NEIC,SOUTHERN SUMATRA,,,,,,
882364,2000-06-04T19:22:35,-5.172,102.457,41,ISC,ISC,ISC,1807241,mb,4.3,NEIC,SOUTHERN SUMATRA,,,,,,
882381,2000-06-04T19:25:49,-4.373,102.211,66,ISC,ISC,ISC,1736040,mb,4.9,NEIC,SOUTHERN SUMATRA,,,,,,
882417,2000-06-04T19:31:18,-5.176,102.568,33,ISC,ISC,ISC,1736042,mb,5.1,NEIC,SOUTHERN SUMATRA,,,,,,
882429,2000-06-04T19:33:54,-5.517,102.599,33,ISC,ISC,ISC,1807247,mb,4.2,ISC,SOUTHERN SUMATRA,,,,,,
882450,2000-06-04T19:38:27,-5.5145,102.1444,156.7,DJA,ISC,ISC,2771810,mb,4.1,IDC,SOUTHERN SUMATRA,,,,,,
882487,2000-06-04T19:54:20,-4.592,102.078,33,ISC,ISC,ISC,1736044,mb,4.2,ISC,SOUTHERN SUMATRA,,,,,,
882554,2000-06-04T20:12:28,-4.544,102.016,50.7,ISC,ISC,ISC,1736046,mb,5.1,NEIC,SOUTHERN SUMATRA,,,,,,
882566,2000-06-04T20:14:04,-4.58,101.926,60.5,ISC,ISC,ISC,1736048,mb,5,NEIC,SOUTHERN SUMATRA,,,,,,
882599,2000-06-04T20:35:59,-4.908,102.889,35.4,ISC,ISC,ISC,1807252,mb,4,ISC,SOUTHERN SUMATRA,,,,,,
882623,2000-06-04T20:44:07,-5.1362,103.3809,29.4,IDC,ISC,ISC,2771818,mb,3.5,IDC,SOUTHERN SUMATRA,,,,,,
882640,2000-06-04T20:47:03,-4.673,102.139,78.9,ISC,ISC,ISC,1736050,mb,4.9,NEIC,SOUTHERN SUMATRA,,,,,,
882718,2000-06-04T21:06:07,-5.64,102.68,33,ISC,ISC,ISC,1736052,mb,4.7,NEIC,SOUTHERN SUMATRA,,,,,,
882763,2000-06-04T21:12:53,-4.774,102.288,35.7,ISC,ISC,ISC,1736054,mb,4.9,NEIC,SOUTHERN SUMATRA,,,,,,
882781,2000-06-04T21:20:11,-4.726,102.013,33,NEIC,ISC,ISC,1807261,mb,3.9,IDC,SOUTHERN SUMATRA,,,,,,
882818,2000-06-04T21:24:29,-4.5811,101.1042,0,IDC,ISC,ISC,1807263,mb,4.7,NEIC,SOUTHERN SUMATRA,,,,,,
882824,2000-06-04T21:26:30,-5.1738,102.9514,0,IDC,ISC,ISC,2771827,mb,3.9,IDC,SOUTHERN SUMATRA,,,,,,
882858,2000-06-04T21:38:39,-4.464,102.454,63.3,ISC,ISC,ISC,1807267,mb,4.9,NEIC,SOUTHERN SUMATRA,,,,,,
882867,2000-06-04T21:39:41,-5.06,101.953,33,ISC,ISC,ISC,1736056,mb,4.5,NEIC,SOUTHWEST OF SUMATRA,,,,,,
882908,2000-06-04T21:53:41,-4.775,102.259,65.7,ISC,ISC,ISC,1736058,mb,5,NEIC,SOUTHERN SUMATRA,,,,,,
882941,2000-06-04T22:02:36,-5.334,102.269,33,ISC,ISC,ISC,1736060,mb,4.5,NEIC,SOUTHERN SUMATRA,,,,,,
882965,2000-06-04T22:05:17,-4.52,102.15,50.7,ISC,ISC,ISC,1736062,mb,4.9,NEIC,SOUTHERN SUMATRA,,,,,,
883003,2000-06-04T22:08:05,-4.61,102.133,58.3,ISC,ISC,ISC,1736064,mb,4.6,NEIC,SOUTHERN SUMATRA,,,,,,
883038,2000-06-04T22:14:30,-5.746,102.814,25,ISC,ISC,ISC,1736066,mb,4.6,NEIC,SOUTHERN SUMATRA,,,,,,
883067,2000-06-04T22:28:38,-4.985,101.801,23.3,ISC,ISC,ISC,1807277,mb,4.1,NEIC,SOUTHERN SUMATRA,,,,,,
883090,2000-06-04T22:30:50,-4.81,102.115,36.3,ISC,ISC,ISC,1736068,mb,5.4,NEIC,SOUTHERN SUMATRA,,,,,,
883143,2000-06-04T22:44:03,-4.6948,104.4531,25.2,IDC,ISC,ISC,2771840,mb,3.6,IDC,SOUTHERN SUMATRA,,,,,,
883156,2000-06-04T22:48:12,-4.9053,102.9201,0,IDC,ISC,ISC,2771842,mb,3.5,IDC,SOUTHERN SUMATRA,,,,,,
883165,2000-06-04T22:49:22,-4.764,101.765,33,ISC,ISC,ISC,1807281,mb,4.6,NEIC,SOUTHERN SUMATRA,,,,,,
883181,2000-06-04T22:52:04,-4.782,101.42,33,ISC,ISC,ISC,2771845,mb,3.9,ISC,SOUTHERN SUMATRA,,,,,,
883232,2000-06-04T22:59:39,-5.01,102.192,53.3,ISC,ISC,ISC,1736070,mb,4.9,NEIC,SOUTHERN SUMATRA,,,,,,
883251,2000-06-04T23:03:29,-5.622,102.691,33,ISC,ISC,ISC,1736072,mb,4.9,NEIC,SOUTHERN SUMATRA,,,,,,
883294,2000-06-04T23:10:50,-5.348,102.746,65.4,ISC,ISC,ISC,1736074,mb,4.8,NEIC,SOUTHERN SUMATRA,,,,,,
883323,2000-06-04T23:13:02,-5.451,102.579,33,ISC,ISC,ISC,1736076,mb,4.6,NEIC,SOUTHERN SUMATRA,,,,,,
883350,2000-06-04T23:14:37,-4.975,102.213,49.8,ISC,ISC,ISC,1736078,mb,5.3,NEIC,SOUTHERN SUMATRA,,,,,,
883389,2000-06-04T23:28:00,-4.374,102.202,50.2,ISC,ISC,ISC,1736080,mb,4.6,NEIC,SOUTHERN SUMATRA,,,,,,
883414,2000-06-04T23:36:16,-4.8563,102.9962,25.4,IDC,ISC,ISC,2771866,mb,3.9,IDC,SOUTHERN SUMATRA,,,,,,
883462,2000-06-04T23:43:53,-3.8496,102.5878,0,IDC,ISC,ISC,2771870,mb,3.7,IDC,SOUTHERN SUMATRA,,,,,,
883475,2000-06-04T23:44:37,-4.453,102.311,33,ISC,ISC,ISC,1807294,mb,4.2,ISC,SOUTHERN SUMATRA,,,,,,
883495,2000-06-05T00:01:10,-4.8,102.4876,0,IDC,ISC,ISC,2771872,mb,3.8,IDC,SOUTHERN SUMATRA,,,,,,
883531,2000-06-05T00:10:27,-5.728,102.919,17.7,ISC,ISC,ISC,1736082,mb,4.3,NEIC,SOUTHERN SUMATRA,,,,,,
883609,2000-06-05T00:47:41,-4.888,102.587,22.5,ISC,ISC,ISC,1736086,mb,5.1,NEIC,SOUTHERN SUMATRA,,,,,,
883635,2000-06-05T00:53:02,-5.457,102.067,28.2,ISC,ISC,ISC,1807301,mb,4.6,NEIC,SOUTHERN SUMATRA,,,,,,
883754,2000-06-05T00:58:11,-4.93,102.381,13.3,ISC,ISC,ISC,1736090,mb,4.9,NEIC,SOUTHERN SUMATRA,,,,,,
883841,2000-06-05T01:19:12,-4.681,102.231,33,ISC,ISC,ISC,1807308,mb,4.6,NEIC,SOUTHERN SUMATRA,,,,,,
883855,2000-06-05T01:27:37,-5.203,101.923,33,ISC,ISC,ISC,1807310,mb,4.5,NEIC,SOUTHWEST OF SUMATRA,,,,,,
883863,2000-06-05T01:30:58,-4.768,102.642,25.7,ISC,ISC,ISC,1807312,mb,4.6,NEIC,SOUTHERN SUMATRA,,,,,,
883874,2000-06-05T01:37:52,-5.603,102.856,38.7,ISC,ISC,ISC,2771885,mb,4.2,NEIC,SOUTHERN SUMATRA,,,,,,
883883,2000-06-05T01:38:18,-5.713,102.825,27.8,ISC,ISC,ISC,2771887,mb,4.1,ISC,SOUTHERN SUMATRA,,,,,,
883906,2000-06-05T01:38:59,-4.969,101.936,26,ISC,ISC,ISC,2771889,mb,4.5,NEIC,SOUTHERN SUMATRA,,,,,,
883922,2000-06-05T01:39:57,-5.174,101.5927,0,IDC,ISC,ISC,1807314,mb,4.1,IDC,SOUTHWEST OF SUMATRA,,,,,,
883992,2000-06-05T02:05:51,-5.4408,103.1438,40.8,IDC,ISC,ISC,2771895,mb,3.7,IDC,SOUTHERN SUMATRA,,,,,,
884038,2000-06-05T02:22:58,-4.942,102.364,37.6,ISC,ISC,ISC,1736094,mb,5.1,NEIC,SOUTHERN SUMATRA,,,,,,
884042,2000-06-05T02:25:36,-5.9895,101.0892,0,IDC,ISC,ISC,2771898,mb,4.1,IDC,SOUTHWEST OF SUMATRA,,,,,,
884064,2000-06-05T02:31:19,-4.54,102.207,33,ISC,ISC,ISC,1807324,mb,4.4,NEIC,SOUTHERN SUMATRA,,,,,,
884139,2000-06-05T02:46:22,-4.471,102.437,52.3,ISC,ISC,ISC,1736098,mb,5.1,NEIC,SOUTHERN SUMATRA,,,,,,
3287026,2000-06-05T02:54:23,-4.066,102.079,33,ISC,ISC,ISC,2771923,mb,4.5,NEIC,SOUTHERN SUMATRA,,,,,,
884154,2000-06-05T02:54:39,-4.6184,100.8208,0,IDC,ISC,ISC,1807330,mb,4.3,IDC,SOUTHWEST OF SUMATRA,,,,,,
884169,2000-06-05T02:59:50,-4.3474,101.5525,0,IDC,ISC,ISC,2771926,mb,4,IDC,SOUTHERN SUMATRA,,,,,,
884194,2000-06-05T03:00:25,-5.615,102.93,21.6,ISC,ISC,ISC,1736100,Mw,5.8,HRVD,SOUTHERN SUMATRA,,,,,,
884223,2000-06-05T03:16:54,-4.7097,100.9385,0,IDC,ISC,ISC,2771928,mb,4.1,IDC,SOUTHWEST OF SUMATRA,,,,,,
884242,2000-06-05T03:23:31,-4.336,102.659,41,ISC,ISC,ISC,1736102,mb,5,NEIC,SOUTHERN SUMATRA,,,,,,
884281,2000-06-05T03:27:22,-5.634,103.043,36.6,ISC,ISC,ISC,1807335,mb,4.4,NEIC,SOUTHERN SUMATRA,,,,,,
884372,2000-06-05T03:59:09,-4.365,102.258,33,ISC,ISC,ISC,1807339,mb,5,NEIC,SOUTHERN SUMATRA,,,,,,
884454,2000-06-05T04:27:00,-5.577,102.746,43.6,ISC,ISC,ISC,1736108,mb,4.6,NEIC,SOUTHERN SUMATRA,,,,,,
884465,2000-06-05T04:32:28,-5.342,102.177,33,ISC,ISC,ISC,2771951,mb,3.8,ISC,SOUTHERN SUMATRA,,,,,,
884479,2000-06-05T04:33:10,-5.436,102.01,25.5,ISC,ISC,ISC,1736110,mb,4.6,NEIC,SOUTHERN SUMATRA,,,,,,
884489,2000-06-05T04:39:04,-4.507,102.475,35.7,ISC,ISC,ISC,1807343,mb,4.6,NEIC,SOUTHERN SUMATRA,,,,,,
884494,2000-06-05T04:43:31,-5.51,102.694,33,ISC,ISC,ISC,1807345,mb,4.6,NEIC,SOUTHERN SUMATRA,,,,,,
884500,2000-06-05T04:46:38,-5.3921,102.9016,0,IDC,ISC,ISC,2771955,mb,3.6,IDC,SOUTHERN SUMATRA,,,,,,
884525,2000-06-05T04:53:07,-4.389,102.319,58.1,ISC,ISC,ISC,1736112,mb,5.3,NEIC,SOUTHERN SUMATRA,,,,,,
884582,2000-06-05T05:17:32,-5.5781,102.8827,0,IDC,ISC,ISC,2771962,mb,3.8,IDC,SOUTHERN SUMATRA,,,,,,
884598,2000-06-05T05:22:37,-4.6216,102.5848,27.4,IDC,ISC,ISC,2771964,mb,3.8,IDC,SOUTHERN SUMATRA,,,,,,
884616,2000-06-05T05:27:34,-5.203,101.982,26,ISC,ISC,ISC,1807348,mb,4.7,NEIC,SOUTHWEST OF SUMATRA,,,,,,
884679,2000-06-05T05:52:10,-4.914,102.55,60,ISC,ISC,ISC,1807352,mb,4.1,NEIC,SOUTHERN SUMATRA,,,,,,
884702,2000-06-05T06:04:05,-4.642,102.344,33,ISC,ISC,ISC,2771970,mb,3.8,ISC,SOUTHERN SUMATRA,,,,,,
884707,2000-06-05T06:08:19,-4.9725,100.2382,0,IDC,ISC,ISC,2771972,mb,3.7,IDC,SOUTHWEST OF SUMATRA,,,,,,
884734,2000-06-05T06:26:10,-4.7378,101.6847,0,IDC,ISC,ISC,2771975,mb,3.9,IDC,SOUTHERN SUMATRA,,,,,,
884780,2000-06-05T06:34:13,-4.897,102.64,42.8,ISC,ISC,ISC,1736114,Mw,5.8,HRVD,SOUTHERN SUMATRA,,,,,,
884859,2000-06-05T07:15:23,-4.437,102.203,64.7,ISC,ISC,ISC,1736118,mb,5.1,NEIC,SOUTHERN SUMATRA,,,,,,
884866,2000-06-05T07:21:49,-5.771,102.802,33,ISC,ISC,ISC,1807357,mb,4.6,NEIC,SOUTHERN SUMATRA,,,,,,
884903,2000-06-05T07:39:09,-5.142,102.461,49.4,ISC,ISC,ISC,1736120,mb,4.7,NEIC,SOUTHERN SUMATRA,,,,,,
884930,2000-06-05T07:53:37,-4.1978,102.259,0,IDC,ISC,ISC,2771986,mb,3.8,IDC,SOUTHERN SUMATRA,,,,,,
884990,2000-06-05T08:14:55,-4.472,102.153,33,ISC,ISC,ISC,1807372,mb,4.1,ISC,SOUTHERN SUMATRA,,,,,,
885157,2000-06-05T08:55:36,-5.391,102.738,53.4,ISC,ISC,ISC,1807380,mb,4.7,NEIC,SOUTHERN SUMATRA,,,,,,
885171,2000-06-05T09:05:56,-5.8353,101.2002,37,IDC,ISC,ISC,2771993,mb,3.4,IDC,SOUTHWEST OF SUMATRA,,,,,,
885214,2000-06-05T09:17:40,-4.317,102.327,63.3,ISC,ISC,ISC,1736126,mb,5.2,NEIC,SOUTHERN SUMATRA,,,,,,
885280,2000-06-05T09:37:41,-4.149,101.744,33,ISC,ISC,ISC,2771999,mb,3.9,ISC,SOUTHERN SUMATRA,,,,,,
885314,2000-06-05T09:46:13,-4.344,102.401,44.2,ISC,ISC,ISC,1736130,mb,5,NEIC,SOUTHERN SUMATRA,,,,,,
885360,2000-06-05T10:12:13,-4.641,102.496,48.8,ISC,ISC,ISC,1807390,mb,4.6,NEIC,SOUTHERN SUMATRA,,,,,,
885374,2000-06-05T10:23:15,-4.3943,102.2248,0,IDC,ISC,ISC,2772004,mb,3.6,IDC,SOUTHERN SUMATRA,,,,,,
885423,2000-06-05T10:36:37,-4.381,102.167,33,ISC,ISC,ISC,1807392,mb,4.4,NEIC,SOUTHERN SUMATRA,,,,,,
885469,2000-06-05T10:53:49,-4.349,102.392,15.7,ISC,ISC,ISC,1736132,mb,5.1,NEIC,SOUTHERN SUMATRA,,,,,,
